,name,date_post,plays,likes,reposts,genre
170,nóy yối - jimmi ngủyên x michael hư đốn (video lyric below),28 December 2020,"129,065","1,797",52,R&B & Soul
171,IMPHÊTAMIN - jimmi ngủ yên,12 November 2020,"464,905","5,719",264,IMPHÊTAMIN
172,Rapitalove EP| Tay To - RPT MCK x RPT PhongKhin (Prod. by RPT PhongKhin),6 April 2021,"7,680,276",71.5K,"2,527",R&B & Soul
173,Dạy Tôi Cách Yêu-tlinh,8 February 2021,"216,904","2,644",82,Indie
174,🎄Last Christmas🎄-Vsoul ft. Robe & Chiulinh,26 December 2020,"78,569",991,24,Hip-hop & Rap
175,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,360",26.2K,663,Piano
176,Em 20 - Winno,3 December 2020,"2,412,338",18.9K,None,None
177,'tim em ko kó một đường nào' - Winno (ft Heily),22 August 2020,"1,956,590",14K,None,None
178,Fancy - Winno (prod.aloha),29 March 2020,"1,582,324",13.5K,None,None
179,Hai Tám Bốn - Winno,3 May 2018,"1,545,365",10K,452,Hip-hop & Rap
180,Thương - Minhmeo,10 March 2016,"225,394","2,146",290,R&B & Soul
181,Phùng Khánh Linh - Trên Ô Cửa Máy Bay (Original Song),7 June 2018,"499,179","5,244",None,Pop
182,Thì Thôi - Reddy,29 April 2018,"2,672,504",22.8K,842,None
183,GRAY (ft. Loco) - Just Do It (하기나 해),10 December 2015,"1,310,126",15.4K,617,k-hiphop
184,TO$KA x $ATIVA - HOA SỮA,27 October 2018,"1,066,233",10.1K,627,R&B & Soul
185,room 808 hnhngan,2 October 2019,"625,050","5,394",147,None
186,WEAN - She Said ( Official Lyric Video ) ft. NAOMI,7 October 2018,"4,991,710",43.9K,"1,991",Hip-hop & Rap
187,Anh Biết Em Cũng Biết - Ngơ X Ngân,7 September 2019,"1,626,720",14.4K,499,None
188,Colde (콜드) - 와르르 ♥,31 May 2019,"877,532",13.7K,192,R&B & Soul
189,Location - Khalid,2 April 2017,"4,091,212",58.3K,"1,184",R&B & Soul
190,딘 (DEAN) - instagram (인스타그램),3 January 2018,"5,836,941",86.5K,"2,948",None
191,Ai biết - WEAN,1 September 2019,"6,528,801",58.9K,"1,954",None
192,viết về yêu xa - ft đăng răng to,29 March 2019,"1,686,003",19.2K,862,None
193,Tuanuki - Don't Worry About Me [SoulZ Release],19 February 2021,"1,673",87,61,Future House
194,Wrong,5 April 2019,"57,899,864",687K,13.8K,R&B & Soul
195,LIL DUSTY G - Lie,2 April 2021,"392,700","9,758",263,LILDUSTYG
196,Wild,21 June 2019,"922,741",11.6K,419,Alternative Rap
197,"Sad Pop Acoustic Guitar x Trap Drum/ Instrumental ""TORTUGA"" (Prod. by IOF ft. Tobeyy)",18 April 2021,"20,017",390,26,Hip-hop & Rap
198,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,422",26.2K,663,Piano
199,Chiulinh - Half Heart - Ft. Left Hand,18 October 2019,"31,291",349,13,R&B
200,thiên thần mùa đông,25 May 2021,"14,205",188,11,R&B
201,Fly Me To The Moon,10 February 2021,"17,686",227,14,R&B & Soul
202,XOLITXO 167. hoa mộc lan,25 April 2020,"97,113","1,323",108,love
203,Van Biet La Mot Cau Chuyen - Lil'Wuyn,9 June 2021,"12,145",100,5,Hip-hop & Rap
204,Smk(demo)-Tofu / Frame2frame,19 February 2021,"69,694",508,16,Hip-hop & Rap
205,DCOD Sol7 - Better Day (Prod. Xtravulous x YoungTaylor),6 June 2021,"14,474",189,4,None
206,Flashback - MC Goku (Black $ayyan) x MChouse (Prod E5),17 October 2020,"247,153","2,305",66,Hip-hop & Rap
207,Cko Ank Mut Ckut Hy Vong (RMX) ft Haukong,20 May 2021,"10,878",159,10,R&B & Soul
208,Better Day Sol7 X Pmall X Sammy,2 November 2019,"431,118","4,086",152,Hip-hop & Rap
209,Icy Heart - Sol,10 January 2018,"442,647","4,649",271,None
210,WATER - Kaka$hi X Sol,22 January 2017,"177,911","1,606",98,None
211,Ai biết - WEAN,1 September 2019,"6,528,804",58.9K,"1,954",None
212,NAOMI Ft WEAN - RETROGRADE,24 December 2018,"2,831,630",28.1K,"1,344",Hip-hop & Rap
213,Mộng Mị with Băng Chợ Quán,17 June 2021,"21,904",204,13,Jazz & Blues
214,...,16 June 2021,"8,925",115,1,None
215,DAT FEELING (prod.Sneezi),16 June 2021,"6,148",55,1,Hip-hop & Rap
216,Cùn - DSK (prod. By TaiHeo),16 June 2021,"3,111",39,2,None
217,TỐI RỒI NGỦ THÔI EM - LUU HUONG THAO ft. TRGAXH (prod. by QUANNHAT5AM),18 June 2021,"34,418",534,15,R&B
218,Có Lẽ Quá Khó Để Quên Một Người - Namlee x 1nG 'n' D.Blue,26 August 2019,"3,744,812",37.9K,"1,239",Hip-hop & Rap
219,tình yêu nhỏ trên biển đỏ - It's Huy ft. Chi Péoo (Prod. by New$oulz),5 October 2019,"571,762","4,545",154,Soundtrack
220,Tofu - Phiêu Bồng Ft. Vovanduc,22 July 2019,"561,513","3,573",146,None
221,Your Smile - Tobie Da Hoodie ( Prodby. Karrot ),7 July 2019,"418,995","3,688",180,Hip-hop & Rap
222,Trong tay anh có gì? - Huy (prod. by SwL3),20 June 2019,"164,075","1,150",33,Soundtrack
223,(Original.) Anh thương em nhất mà? - Lã. ft. Log ft. TiB,29 December 2018,"9,093,961",77.5K,"3,746",None
224,Grey D - Vài câu nói có khiến người thay đổi ( Lâm Aio edit ),15 June 2019,"3,249,522",35.6K,"1,737",Pop
225,Dưới cơn mưa - Khói x Helia (cover),21 July 2019,"2,202,827",18.9K,790,None
226,ĐIỀU KHÁC LẠ - ĐẠTG X NGỌC HALEYY (Masew Mix),28 July 2017,"2,495,882",22.6K,"2,474",Future Bass
227,[HiddenGem Mixtape] ep.7 - J Cole Nói - B Ray,15 June 2021,"216,248","2,325",59,None
228,Người Chơi Hệ Đẹp - 16 Typh (Cukak Remix) [Official],17 June 2021,"1,463,451",16.5K,364,Dance & EDM
229,The Reason To Love Me 12 : True Love,15 June 2021,"251,660",10.2K,277,Nhí Nhố
230,Nhạc Chill Sang Xịn Mịn 2021 | HOT TIKTOK,15 June 2021,"125,778","2,633",91,None
231,Phố Đã Lên Đèn - Huyền Tâm Môn (Cukak Remix) [Official],16 June 2021,"3,886,273",34.7K,892,Dance & EDM
232,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,499",26.2K,663,Piano
233,16 Typh x 16 BrT - WALK ON DA STREET ( Timon X Dope B Remix ),17 June 2021,"35,785","1,313",540,#Vinahouse
234,Tình Yêu Ngủ Quên (feat. LyHan),12 June 2021,"797,065",10K,173,Pop
235,NÓI THEO 1 CÁCH KHÁC,27 November 2020,"55,877",727,20,Hip-hop & Rap
236,SÀI GÒN HÔM NAY MƯA (lofi ver. by VUX) - JSOL & HOÀNG DUYÊN,4 June 2021,"4,233,078",40.5K,"1,170",Pop
237,Xích Thêm Chút - RPT Groovie ft TLinh x RPT MCK,18 April 2021,"2,780,028",27.9K,595,None
238,Cứ Chill Thôi - Chillies ftSuni Hạ Linh & Rhymastic version lofi.....,16 July 2020,"1,606,185",20.6K,727,Lofi
239,Phố Đã Lên Đèn - Huyền Tâm Môn (Cukak Remix) [Official],16 June 2021,"3,886,279",34.7K,892,Dance & EDM
240,Late Night Melancholy - SAD CHILL Lofi Piano Type Beat,13 June 2020,"88,358",926,None,R&B & Soul
241,Sofia - Hanin Dhiya,24 January 2021,"184,714","1,468",28,None
242,Nothing on You-Barry Brizzy,14 March 2021,"1,671,302",23.5K,560,None
243,SOFT LIPS ll Blank Check Best Tiktok Lofi Music Beats,18 April 2021,"367,052","3,854",83,R&B & Soul
244,PAST LIVES - BORNS- SapientDream- Lofi,23 May 2020,"3,603,244",45.8K,"1,430",Indie
245,Nghe Bài Này Đi Em - Specter x Củ Cải x Chu,7 October 2019,"1,148,767",15.4K,515,Hip-hop & Rap
246,WILLDAWIND - Người Từng Thương (Acoustic) feat. BẢO HÂN HELIA & SIVAN,7 September 2020,"486,976","2,422",39,None
247,Tình yêu vippro 2020 (Remix) - Megazetz ft. Fong & Deus,17 April 2020,"475,883","3,744",90,None
248,'tim em ko kó một đường nào' - Winno (ft Heily),22 August 2020,"1,956,597",14K,None,None
249,Thờ er (remix) - 16 BrT ft MCK Prod by Snowz,8 October 2020,"1,297,826",10.1K,260,None
250,Người Chơi Hệ Đẹp - 16 Typh (Cukak Remix) [Official],17 June 2021,"1,463,455",16.5K,364,Dance & EDM
251,[HiddenGem Mixtape] ep.7 - J Cole Nói - B Ray,15 June 2021,"216,248","2,325",59,None
252,The Reason To Love Me 12 : True Love,15 June 2021,"251,660",10.2K,277,Nhí Nhố
253,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,568",26.2K,663,Piano
254,LÀM GÌ CÓ AI CHIA TAY MÀ VUI Ngắn & Ngọc Dolil Đà Lạt Ep4,13 June 2021,"182,084","2,278",48,None
255,Việt - Hơn Cả Mây Trời (lofi ver by hawys),31 March 2019,"5,003,726",38.3K,"1,116",lofi
256,"Send My Love / Sit Still, Look Pretty - Landon Austin and Kaya May - J a p a n C h i l l",5 August 2020,"317,489","3,026",38,Trap
257,Dù Cho Mai Về Sau,21 November 2020,"7,676,762",69.9K,"2,018",Pop
258,Sunset II,4 September 2020,"258,255","3,562",176,None
259,Pleasure P - I Love Girls (feat. Tyga),21 June 2012,"1,863,756",29.1K,"2,755",R&B
